order_id,user_id,product_name,price,order_date,sign_date,status,has_insurance,activated
DX20260720001,1001,无线蓝牙耳机Pro,399.00,2026-07-18,2026-07-20,已签收,是,是
DX20260812002,1001,65W氮化镓充电器,129.00,2026-08-10,2026-08-12,已签收,否,否
DX20260828003,1001,智能手表WatchX,1299.00,2026-08-26,2026-08-28,已签收,是,是
DX20260830004,1001,无线蓝牙耳机Pro,399.00,2026-08-29,,已发货,否,否
DX20260831005,1002,65W氮化镓充电器,129.00,2026-08-30,2026-09-01,已签收,否,否
DX20260825006,1002,智能手表WatchX,1299.00,2026-08-23,2026-08-25,已签收,是,否
DX20260710007,1003,无线蓝牙耳机Pro,399.00,2026-07-08,2026-07-10,已签收,否,是
DX20260805008,1003,65W氮化镓充电器,129.00,2026-08-03,2026-08-05,已签收,否,否
DX20260720009,1004,智能手表WatchX,1299.00,2026-07-18,2026-07-20,已签收,是,是
DX20260728010,1004,无线蓝牙耳机Pro,399.00,2026-07-26,2026-07-28,已签收,否,否
DX20260815011,1005,65W氮化镓充电器,129.00,2026-08-13,2026-08-15,已签收,否,否
DX20260820012,1005,无线蓝牙耳机Pro,399.00,2026-08-18,2026-08-20,已签收,是,否
