order_id,node_time,node_desc,location,operator
DX20260830004,2026-08-29 10:22,商品已下单,广东深圳,系统
DX20260830004,2026-08-29 18:40,仓库已发货,广东深圳仓,顺丰速运
DX20260830004,2026-08-30 09:15,运输中,广东广州转运中心,顺丰速运
DX20260830004,2026-08-31 21:03,运输中,浙江杭州转运中心,顺丰速运
DX20260830004,2026-09-01 20:11,派送异常：联系不上收件人，暂缓派送,上海浦东新区,顺丰速运
DX20260831005,2026-08-30 14:05,商品已下单,广东深圳,系统
DX20260831005,2026-08-30 19:30,仓库已发货,广东深圳仓,中通快递
DX20260831005,2026-08-31 08:00,运输中,广东广州转运中心,中通快递
DX20260831005,2026-09-01 10:45,已签收,北京市朝阳区,中通快递
DX20260828003,2026-08-26 09:10,商品已下单,广东深圳,系统
DX20260828003,2026-08-26 20:15,仓库已发货,广东深圳仓,京东物流
DX20260828003,2026-08-27 14:20,运输中,广东广州转运中心,京东物流
DX20260828003,2026-08-28 11:05,已签收,四川成都市武侯区,京东物流
DX20260825006,2026-08-23 15:30,商品已下单,广东深圳,系统
DX20260825006,2026-08-23 22:10,仓库已发货,广东深圳仓,京东物流
DX20260825006,2026-08-24 12:00,运输中,湖北武汉转运中心,京东物流
DX20260825006,2026-08-25 09:40,已签收,湖北武汉市洪山区,京东物流
DX20260720001,2026-07-18 08:30,商品已下单,广东深圳,系统
DX20260720001,2026-07-18 16:20,仓库已发货,广东深圳仓,顺丰速运
DX20260720001,2026-07-19 22:40,运输中,广东广州转运中心,顺丰速运
DX20260720001,2026-07-20 15:12,已签收,上海市闵行区,顺丰速运
DX20260812002,2026-08-10 11:00,商品已下单,广东深圳,系统
DX20260812002,2026-08-10 20:05,仓库已发货,广东深圳仓,中通快递
DX20260812002,2026-08-12 09:30,已签收,浙江杭州市西湖区,中通快递
